date,time,home,away,location,duration
3/1/2023,8:00 PM,F2 - Majors - Evans,La Vernia 2,Floresville Sports Complex - CW Custom Builders,90
3/2/2023,8:00 PM,F1 - Majors - Guerrero,La Vernia 1,Floresville Sports Complex - CW Custom Builders,90
3/4/2023,5:00 PM,La Vernia 2,F1 - Majors - Guerrero,La Vernia - Jon Wayne Field-C,90
3/7/2023,8:00 PM,La Vernia 1,F2 - Majors - Evans,La Vernia - Jon Wayne Field-C,90
3/7/2023,8:00 PM,F1 - Majors - Guerrero,La Vernia 3,Floresville Sports Complex - CW Custom Builders,90
3/9/2023,8:00 PM,F2 - Majors - Evans,La Vernia 3,Floresville Sports Complex - CW Custom Builders,90
3/21/2023,8:00 PM,F2 - Majors - Evans,La Vernia 1,Floresville Sports Complex - CW Custom Builders,90
3/23/2023,8:00 PM,F1 - Majors - Guerrero,La Vernia 2,Floresville Sports Complex - CW Custom Builders,90
3/25/2023,1:00 PM,F2 - Majors - Evans,F1 - Majors - Guerrero,Floresville Sports Complex - CW Custom Builders,90
3/27/2023,8:00 PM,La Vernia 3,F1 - Majors - Guerrero,La Vernia - Jon Wayne Field-C,90
3/30/2023,8:00 PM,La Vernia 3,F2 - Majors - Evans,La Vernia - Jon Wayne Field-C,90
3/30/2023,8:00 PM,F1 - Majors - Guerrero,Falls City,Floresville Sports Complex - CW Custom Builders,90
4/3/2023,8:00 PM,La Vernia 1,F1 - Majors - Guerrero,La Vernia - Jon Wayne Field-C,90
4/3/2023,8:00 PM,F2 - Majors - Evans,Poth,Floresville Sports Complex - CW Custom Builders,90
4/4/2023,8:00 PM,La Vernia 2,F2 - Majors - Evans,La Vernia - Jon Wayne Field-C,90
4/4/2023,8:00 PM,Falls City,F1 - Majors - Guerrero,Falls City - Blue Field,90
4/13/2023,6:45 PM,Poth,F1 - Majors - Guerrero,Poth - HSSB Field,90
4/13/2023,8:00 PM,F2 - Majors - Evans,Falls City,Floresville Sports Complex - CW Custom Builders,90
4/19/2023,8:00 PM,F1 - Majors - Guerrero,F2 - Majors - Evans,Floresville Sports Complex - CW Custom Builders,90
4/25/2023,8:00 PM,Falls City,F2 - Majors - Evans,Falls City - Blue Field,90
4/27/2023,6:45 PM,Poth,F2 - Majors - Evans,Poth - HSSB Field,90
5/5/2023,8:00 PM,F2 - Majors - Evans,F1 - Majors - Guerrero,Floresville Sports Complex - CW Custom Builders,90
5/12/2023,8:00 PM,F1 - Majors - Guerrero,Poth,Floresville Sports Complex - CW Custom Builders,90